property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary,analysis
mid-terrace dwelling,cavity,not mentioned,mould,not mentioned,extractor unit,uPVC,not mentioned,not mentioned,conservatory,bathroom,0106_BN22.pdf,ineffective bathroom extractor unit,mid terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues are inadequate ventilation, particularly due to a blocked bathroom extraction unit, which prevents effective removal of humid air, and high relative humidity levels in the conservatory and bathroom areas. Additionally, the presence of moisture from the underfloor heating system, combined with the structural modifications made to the property, may contribute to the conditions that allow mould to thrive, particularly in areas where moisture levels exceed 60% relative humidity."
one bedroom ground floor flat,cavity,1960,damp,not mentioned,no mechanical or electrical ventilation units,single-glazed,2 adults,not mentioned,bedroom,not mentioned,0259_TA6.pdf,moisture from below DPC level,ground floor flat,natural ventilation,other,rising damp,none,"The main causes of the damp and mould issues in the property appear to be inadequate ventilation, as there are no mechanical or electrical ventilation units, and potential leaks from blocked drains or water mains, which could be contributing to high moisture levels in the floors and walls. Additionally, the presence of a damp proof course that is below the internal floor level may be allowing moisture to rise, exacerbating the damp conditions."
semi-detached dwelling,solid,early 1900s,both,south,not mentioned,not mentioned,not mentioned,not mentioned,lounge,bedroom,0225_SO51.pdf,water ingress through external cracking,semi-detached/end terrace,not mentioned,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property are inadequate moisture management due to ineffective damp proofing measures, as indicated by the improperly installed injected DPC and the external render extending below the DPC level, which allows ground moisture to penetrate the walls. Additionally, significant cracking in the external render suggests water ingress, which can lead to moisture accumulation within the wall structure. The presence of high moisture levels around the chimney structure further contributes to the damp conditions, creating an environment conducive to mould growth."
end of terrace structure,cavity,early 1900's,both,south,"ceiling mounted extractor unit, opening windows",uPVC,not mentioned,not mentioned,rear bedroom,south facing external flank wall,0201_PO4.pdf,hygroscopic salts causing elevated moisture levels,semi-detached/end terrace,extract ventilation,uPVC,other/unclear,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in areas like the bathroom where an extractor fan was only recently installed, leading to high humidity levels. Additionally, the presence of debris in the cavity walls is likely bridging the damp proof course, allowing ground moisture to affect the upper wall structures. The lack of cavity wall insulation and inconsistent injection of insulation can also contribute to interstitial condensation within the walls, exacerbating moisture retention and mould growth."
ground floor flat in a purpose built block,cavity,pre-dates 1965,both,south,"UPVC window units with trickle vents, wall mounted extractor in bathroom and kitchen",uPVC,not mentioned,not mentioned,"lounge, bedroom 2",not mentioned,0164_ME1.pdf,issues with ventilation and cavity wall insulation,ground floor flat,extract ventilation,uPVC,poor ventilation,other/unclear,"The reported damp and mould issues are primarily caused by inadequate damp proofing measures due to the property's construction predating 1965, leading to moisture ingress from the ground. Additionally, poor installation of cavity wall insulation and high external ground levels are contributing to moisture bridging within the cavity walls. Ineffective ventilation from sealed chimneys and damaged extractor fans further exacerbates the moisture retention in the property."
large modern detached dwelling,cavity,2010s,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,entrance lobby,0149_GU3.pdf,adhesive sealing preventing evaporation of moisture,detached,not mentioned,not mentioned,other/unclear,none,"The main causes of the reported damp and mould issues in the property are significant residual moisture trapped in the floor construction due to a prior water loss incident, which lasted for approximately three days, and the presence of adhesive on the floor screed that is preventing evaporation of moisture. Additionally, the tiled floors in the kitchen and entrance lobby are inhibiting restorative drying, further contributing to the damp conditions."
three Bedroom semi-detached dormer house,cavity,1940 to 1950,damp,not mentioned,"no kitchen fan, humidistat controlled bathroom fan (insufficient power)",not mentioned,3 Adults & 1 dog,not mentioned,living room,Bedroom 2,0111_BS27.pdf,defective rendering on the gable wall,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none,"The damp issues reported in the property are primarily due to poor ventilation, particularly in the kitchen where no fan is installed, leading to increased humidity levels. Additionally, the condition of the rendering on the gable wall and around the windows is defective, allowing water ingress, while the structural inadequacies of the chimney stack and linked wall contribute to moisture retention and interstitial condensation within the walls."
three bedroom terraced house,cavity,late 1950's to early 1960's,both,not mentioned,no mechanical/electrical extraction systems,not mentioned,2 adults and 1 child,not mentioned,"kitchen, bedroom 3",not mentioned,0258_TA6.pdf,leaking from defective Finlock Gutters,mid terrace,natural ventilation,not mentioned,external moisture penetration,none,"The reported damp and mould issues in the property are primarily caused by leaking Finlock gutters, which allow moisture to enter the cavity walls, leading to saturation of the brickwork. Additionally, the lack of mechanical ventilation in the kitchen and bathroom contributes to high humidity levels, exacerbating condensation and mould growth, particularly around window areas where cold bridging occurs due to concrete lintels."
ground floor flat,cavity,circa 2005,mould,not mentioned,trickle vents,uPVC,3 persons and approximately 25 pet tanks and a large rabbit hutch,not mentioned,master bedroom,not mentioned,0098_BN11.pdf,raised atmospheric moisture from inadequate ventilation,ground floor flat,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation and high atmospheric moisture levels. The presence of multiple pet tanks in the living areas contributes to increased humidity, while limited airflow due to furniture placement and the building's construction leads to cold spots where condensation can form. Additionally, previous water damage from a leak in the flat above may have exacerbated the moisture levels in the affected areas."
two-bedroom bungalow,not mentioned,late 1960s or early 1970s,both,not mentioned,"kitchen well ventilated, bathroom extractor fan, passive vent in bedroom 1",not mentioned,3 Adults,not mentioned,Bathroom,Kitchen,0248_TA6.pdf,condensation from inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation and inadequate insulation. The existing bathroom extractor fan is inefficient and does not meet building regulations, contributing to high humidity levels, particularly in the bathroom and kitchen. Additionally, the presence of stored belongings and personal effects exacerbates the situation by obstructing airflow and reducing ventilation effectiveness, while localized moisture levels indicate insufficient insulation at critical junctions in the building."
upper dwelling in a purpose built block,cavity,not mentioned,damp,east,not mentioned,uPVC,not mentioned,not mentioned,kitchen,not mentioned,0293_W12.pdf,water penetration through exterior wall structure,flat,not mentioned,uPVC,external moisture penetration,none,"The reported damp and mould issues are primarily caused by water penetration through the exterior wall structure, exacerbated by compromised drainage features such as a cracked mortar fillet and a drip formed in the precast panel above the affected window. Additionally, the presence of a planter on the balcony above may contribute to moisture retention and further water ingress, particularly given the orientation of the window which is less exposed to prevailing weather conditions."
semi-detached house,cavity,1930-40s,mould,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,dining room,master bedroom,0200_PO4.pdf,lack of insulation in sloping ceiling areas,semi-detached/end terrace,not mentioned,not mentioned,other/unclear,none,"The main causes of the reported mould issues are inadequate insulation in the sloping ceiling areas, leading to cold spots and subsequent condensation. The existing loft insulation does not extend to these areas, creating localized thermal bridges that contribute to the development of mould."
ground floor flat,cavity,circa 1960,both,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,kitchen,bedroom,0160_LU1.pdf,water ingress from a possible leak,ground floor flat,natural ventilation,uPVC,internal leaks/plumbing,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, as evidenced by the closed trickle vents and lack of forced ventilation, leading to high indoor humidity levels. Additionally, the occupancy conditions indicate a moist environment, which, combined with the high relative humidity readings in the bedrooms and lounge, creates an ideal setting for mould growth. The presence of visible water damage and moisture droplets on windows further suggests that moisture ingress and condensation are contributing factors."
semi-detached 2-bedroom house,cavity,circa 1960,both,southeast,"trickle vents, passive vents, extractor fan",uPVC,2 adults and 4 cats,not mentioned,"lounge, kitchen","bathroom, dining room",0110_BS26.pdf,inadequate ventilation and humidity control,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property include poor ventilation, particularly due to blocked and ineffective passive vents, and inadequate operation of the bathroom and kitchen extractor fans. Additionally, the presence of clutter against external walls and high ground levels above the damp proof course (DPC) hinder proper drying and moisture management. The lack of insulation in the loft and the condition of the chimney stack also contribute to moisture ingress and condensation, exacerbating the mould growth."
two bedroom ground floor flat,cavity,not mentioned,both,north,passive ventilation via two bedroom windows and patio doors,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0211_RM17.pdf,ineffective ventilation and high atmospheric moisture,ground floor flat,natural ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by high internal humidity levels, which exceed normal thresholds due to inadequate ventilation and moisture generation from occupancy. The ineffective kitchen extraction unit and potential issues with the bathroom extractor fan contribute to poor air circulation, leading to condensation and elevated moisture levels on surfaces. Additionally, the presence of overspray from the shower exacerbates moisture accumulation in specific areas, further promoting mould growth."
ground floor flat in a purpose built block,cavity,2009,mould,not mentioned,passive ventilation with acoustic window vents and forced ventilation in bathroom and kitchen,not mentioned,not mentioned,yes,"bedroom 1, lounge",not mentioned,0238_SW18.pdf,raised atmospheric moisture levels and condensation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by high moisture levels due to inadequate ventilation, particularly from having only one trickle vent per window unit, which limits air circulation. Additionally, the practice of drying laundry indoors without proper facilities exacerbates humidity levels, contributing to the conditions that allow mould to thrive. The combination of these factors leads to elevated relative humidity, particularly in areas adjacent to windows, creating an environment conducive to mould growth."
two storey 3-bedroom maisonette,cavity,1950s,both,north west,no mechanical/electrical ventilation,uPVC,"2 Adults and 5 Children (ages 1, 2, 4, 5 & 9)",not mentioned,Bedroom 1,Bathroom,0251_TA6.pdf,condensation from inadequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, particularly the absence of mechanical or passive ventilation systems, which fails to adequately remove moisture generated by the occupants. Additionally, the design of the structure, including cantilevered walkways on the cold North Westerly elevation, creates cold bridges that attract condensation. There may also be leaks from the aging asphalt paving and potential leaks in the walls or windows contributing to elevated moisture levels."
two bedroom ground floor flat,cavity,20-30 years,mould,not mentioned,"trickle vents, storage heaters",not mentioned,2 adults and 3 children,yes,lounge/diner,bedroom 1,0095_BH1.pdf,lack of ventilation and drying clothes indoors,ground floor flat,natural ventilation,not mentioned,poor ventilation,lifestyle factors,"The main causes of the reported mould issues in the property are poor ventilation and high internal humidity levels, exacerbated by the drying of clothes indoors and the placement of furniture against external walls, which restricts airflow and creates cold spots. Additionally, the tenant's use of the ventilation system is limited due to cost concerns, further contributing to the moist conditions that facilitate mould growth."
three storey linked dwelling,timber,not mentioned,not mentioned,south east,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0167_ME19.pdf,thermal radiation causing joint failure,other,not mentioned,not mentioned,other/unclear,none,"The main causes of the reported damp and mould issues are the failure of the external render at the joints of the cladding, which is exacerbated by thermal movement due to solar radiation affecting the gable end wall. This structural movement leads to water ingress through the damaged joints, although the internal moisture levels remain unaffected due to the presence of moisture barriers like the breather membrane and vapour control membrane in the timber frame construction."
two bedroom ground floor flat,cavity,1980s,mould,not mentioned,"trickle vents, drier vented internally, Nuaire vent unit",uPVC,1 adult and 2 children,yes,"Bedroom 1, Bathroom","Kitchen, Bedroom 2",0099_BN12.pdf,lack of ventilation / lifestyle issues,ground floor flat,PIV,uPVC,poor ventilation,lifestyle factors,"The main causes of the reported mould issues include inadequate ventilation in key areas such as the bathroom and kitchen, leading to elevated humidity levels and condensation on cold surfaces. Additionally, the presence of cold spots due to contents placed against external walls contributes to moisture accumulation, while the drying of clothes indoors further increases humidity, exacerbating the mould growth."
mid-terrace dwelling,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,master bedroom,not mentioned,0175_MK8.pdf,condensation in the roof structure,mid terrace,not mentioned,not mentioned,poor ventilation,other/unclear,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to elevated internal humidity levels, which can result in condensation. Additionally, alterations made to the property may have disrupted the thermal insulation continuity in the roof structure, contributing to localized moisture accumulation and water staining on the plasterboard ceiling."
semi-detached property,cavity,1940-1950s,both,not mentioned,trickle vents,PVCu,6 persons and 1 large dog,not mentioned,kitchen,bedrooms,0272_TA9.pdf,high atmospheric moisture from inadequate ventilation,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues include poor ventilation due to blocked vents, high occupancy leading to elevated moisture levels, and inadequate thermal efficiency of the property's construction, particularly in the kitchen and porch areas. Additionally, the lack of an extractor fan in the bathroom and the absence of doors between rooms contribute to moisture migration and condensation formation."
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,trickle vents,uPVC,3 adults,yes,kitchen,lounge,0097_BH21.pdf,long term leaks and inadequate ventilation,ground floor flat,natural ventilation,uPVC,internal leaks/plumbing,poor ventilation,"The reported issues of dampness and mould in the property are primarily caused by a combination of poor ventilation, particularly in the bathroom and kitchen, leading to high humidity levels, and ongoing leaks from plumbing, especially in the kitchen and bathroom areas. Additionally, moisture migration from the kitchen floor and inadequate heating in certain areas contribute to the conditions that allow mould to thrive."
circa 1960’s two bedroom ground floor flat,solid,1960s,mould,not mentioned,trickle vents fitted,uPVC,1 adult and 3 children,yes,bedroom 2,not mentioned,0140_E7.pdf,restricted airflow from furniture and drying clothes,ground floor flat,natural ventilation,uPVC,lifestyle factors,none,"The reported mould issues in the property are primarily caused by inadequate ventilation, leading to elevated internal humidity levels, particularly in areas like the bathroom and kitchen. Additionally, the presence of obstructed passive vents and the drying of clothes indoors contribute to increased moisture levels, creating an environment conducive to mould growth. The structural characteristics of the flat, including solid brick walls and the absence of effective moisture control measures, further exacerbate the problem."
first floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"passive ventilation by opening windows, centralized extractor unit",uPVC,not mentioned,not mentioned,two bedrooms,not mentioned,0194_PO19.pdf,insufficient ventilation and internal moisture levels,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The main causes of the reported damp and mould issues in the property are poor ventilation and high levels of atmospheric moisture. The lack of effective passive ventilation due to the absence of trickle vents in the uPVC windows, combined with inadequate functioning of the centralized extractor unit, has led to elevated humidity levels. Additionally, the high relative humidity and condensation occurring on window reveals indicate that moisture is not being adequately managed, creating an environment conducive to mould growth."
purpose built block,cavity,not mentioned,mould,north east,extractor fan in bathroom,not mentioned,not mentioned,not mentioned,"master bedroom, second bedroom",not mentioned,0107_BS23.pdf,loss water wicking up from the floor structure,other,extract ventilation,not mentioned,rising damp,none,"The main causes of the reported damp and mould issues are a consistent source of water intrusion from a clean mains water supply, leading to pooling in the floor structures, and inadequate ventilation in the bathroom, which contributes to elevated humidity levels. The property's location on the north-east corner, combined with cool internal temperatures and poor airflow from the blocked extractor fan, exacerbates the conditions for mould growth by maintaining high relative humidity and moisture levels in the air."
mid terrace property,solid,1930s,both,not mentioned,"forced air extraction unit, trickle vents",uPVC,not mentioned,not mentioned,dining room,bathroom,0145_EN3.pdf,poor drainage and inadequate ventilation,mid terrace,extract ventilation,uPVC,poor ventilation,external moisture penetration,"The main causes of the damp and mould issues reported in the property include poor ventilation, as evidenced by closed trickle vents and a non-functional bathroom extraction unit, leading to elevated internal humidity levels. Additionally, the lack of a vertical damp proof course (DPC) in the garden wall and improper drainage from the front yard slabs, which slope towards the property, contribute to moisture ingress from the ground. These factors combined create an environment conducive to dampness and mould growth, particularly along the party wall."
detached chalet bungalow,solid,1940’s to 1950's,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0180_N20.pdf,moisture penetrating through solid brick wall,detached,not mentioned,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues include an escape of water from a pipe in the first floor bathroom, leading to significant water damage in multiple areas of the property. Additionally, poor insulation of the external walls and the presence of delaminated render contribute to moisture retention and potential water ingress, while elevated humidity levels and low surface temperatures in certain areas suggest that condensation is also a contributing factor."
ground floor flat,cavity,early to mid 1960s,both,not mentioned,"trickle vents, electric extractor units",uPVC,not mentioned,yes,front bedroom,"bathroom, kitchen",0231_SS16.pdf,lack of forced ventilation and high moisture production,ground floor flat,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The reported damp and mould issues are primarily caused by high levels of indoor humidity, likely due to inadequate ventilation and excessive moisture generation from the tenant's activities, such as frequent laundry. Additionally, the presence of cold surfaces, as indicated by low floor temperatures, contributes to condensation, while structural factors like restricted airflow around furniture and bridging of the damp proof course by soil exacerbate the moisture retention in the property."
two bedroom first floor flat,not mentioned,circa 1960,both,not mentioned,"trickle vents, wall mounted Envirovent units",uPVC,1 adult and 2 young children,yes,lounge,"bedroom, kitchen",0230_SS16.pdf,lack of ventilation and poor loft insulation,flat,PIV,uPVC,poor ventilation,insufficient heating,"The reported mould issues are primarily caused by a combination of inadequate ventilation, poor loft insulation coverage, and high moisture levels from occupational activities such as drying clothes indoors. The insufficient operation of kitchen and bathroom ventilation systems further exacerbates the problem, leading to elevated humidity levels that promote mould growth, particularly in areas with cold spots on external walls and ceilings."
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,trickle vents and windows were open,not mentioned,not mentioned,not mentioned,toilet,bathroom,0244_SW6.pdf,moisture from occupational activity,ground floor flat,natural ventilation,not mentioned,lifestyle factors,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom areas, leading to elevated humidity levels. Additionally, the detailing of dry lining around window reveals may contribute to moisture retention, while the presence of high moisture levels in the toilet area suggests potential structural dampness. The overall atmospheric conditions, with relative humidity consistently above 60%, further support the development of mould."
two-storey three-bedroom mid-terrace house,cavity,1960,both,north,no mechanical/electrical ventilation; windows open as much as possible,uPVC,3 adults and 1 child + 1 small dog,not mentioned,lounge,"master bedroom, daughter's bedroom",0269_TA9.pdf,moisture wicking from below DPC level,mid terrace,natural ventilation,uPVC,rising damp,none,"The reported damp and mould issues are primarily caused by inadequate drainage and potential structural problems, including a possible broken drain pipe and the absence of a soakaway for the recently installed ACO slot drain. Additionally, the removal of the chimney top may have contributed to water ingress, while the lack of mechanical ventilation in frequently used areas exacerbates moisture retention, leading to condensation and mould growth."
retail unit in a terrace,solid,1889,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,basement,office,0137_E1.pdf,foul water ingress affecting basement area,other,not mentioned,not mentioned,internal leaks/plumbing,none,"The reported damp and mould issues in the basement are primarily caused by active water ingress from both foul water drainage and potential weather-related factors affecting the cast iron rainwater drainage system. The ongoing moisture accumulation is exacerbated by the property's solid brick construction, which may not effectively manage water retention, particularly in the basement area that is likely earth-retaining."
semi-detached dwelling,cavity,not mentioned,both,north west,windows have to be opened to provide ventilation,not mentioned,not mentioned,not mentioned,kitchen diner,entrance hall,0173_ME8.pdf,condensation related issues,semi-detached/end terrace,natural ventilation,not mentioned,poor ventilation,none,"The reported issues with paint finishes are primarily driven by inadequate ventilation and heating in the affected areas, particularly following the removal of a radiator in the kitchen. The lack of trickle vents in the windows and the non-exterior venting cooker hood contribute to poor air circulation, which can lead to condensation. Additionally, the cooler temperatures in the north-west facing areas of the property exacerbate these conditions, creating an environment conducive to moisture-related problems."
large country manor house split into luxury apartments,solid,early 1800s,both,south west,limited cavity ventilation,not mentioned,not mentioned,not mentioned,Flat 13,Flat 1,0150_GU30.pdf,rainwater ingress through defective exterior render,other,not mentioned,not mentioned,external moisture penetration,none,"The reported damp and mould issues are primarily caused by inadequate weatherproofing leading to rainwater ingress, particularly on the south west facing elevation, where gaps and cracks in the external render allow moisture to penetrate. Additionally, problems with cavity insulation, including sagging and reduced effectiveness, contribute to reverse condensation, causing moisture to migrate from the outer leaf to the inner leaf of the cavity wall. Furthermore, intermittent water ingress affecting the bay window is linked to improper drainage and potential blockages in the discharge chute, exacerbated by prevailing weather conditions."
end terrace house,cavity,mid 1980s,both,south,not mentioned,not mentioned,not mentioned,not mentioned,living room,bedroom 1,0224_SO18.pdf,water ingress through open gable head,semi-detached/end terrace,not mentioned,not mentioned,external moisture penetration,none,"The reported damp and mould issues are primarily caused by a combination of inadequate roof protection leading to water ingress, particularly at the gable end where there is no felt installed, and structural deficiencies such as missing insulation batts in the walls. Additionally, the presence of high moisture levels in the insulation and the potential for cold spots due to thermal inefficiencies contribute to the damp conditions, exacerbated by poor ventilation in certain areas of the property."
self-contained flat,cavity,circa 1997,mould,not mentioned,forced air extraction unit in bathroom,double-glazed,not mentioned,not mentioned,master bedroom,not mentioned,0153_HP3.pdf,inadequate ventilation and water ingress,flat,extract ventilation,other,poor ventilation,external moisture penetration,"The main causes of the damp and mould issues reported in the flats are poor ventilation leading to high humidity levels, particularly in Flat 1, where the only ventilation is an inadequately functioning bathroom extractor fan. Additionally, structural deficiencies such as poorly dressed flashings, misaligned guttering, and unsealed electrical entries contribute to water ingress during heavy rainfall. The presence of excessive shrubbery against the exterior walls further exacerbates moisture retention, while the lack of trickle vents in the windows prevents adequate air circulation."
large stone built detached property,solid,1800s,both,west,not mentioned,timber,not mentioned,not mentioned,sitting room,bedroom,0113_CA11.pdf,moisture ingress from water leak,detached,not mentioned,timber,internal leaks/plumbing,none,"The reported damp and mould issues are primarily caused by structural movement of the property, leading to cracks in the walls and ceilings that allow moisture ingress. Additionally, the disused chimney and gaps in the expanding foam filler contribute to water penetration. The solid floor construction may also limit proper drainage and ventilation, exacerbating the moisture retention within the building."
large detached dwelling,cavity,2014,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,garage,0204_PR3.pdf,water ingress due to poor structural detailing,detached,not mentioned,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues stem from inadequate drainage and sealing of the cavity trays and damp proof courses (DPC), which allow water ingress into the floor structure. Additionally, the gas membrane is improperly retaining water, acting like a pond liner, and the uninsulated concrete slab in the garage is susceptible to rainwater ingress, further contributing to moisture retention. The design changes during construction, including the transition to timber frame and the lack of proper detailing, have exacerbated these issues."
semi-detached dwelling,cavity,early 1900s,damp,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,ground floor reception rooms,first floor bathroom,0278_TN24.pdf,weather ingress associated with flashings and roof detail,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none,"The reported damp and mould issues are primarily caused by inadequate drainage and moisture management, as evidenced by the significant buildup of debris on the slate damp proof course (DPC) that is bridging the cavity wall, preventing proper moisture control. Additionally, the installation of blown cavity wall insulation in 2001 may have contributed to moisture retention within the walls, particularly after its removal from the gable end wall in 2015. The lack of forced ventilation in critical areas such as the kitchen and bathroom further exacerbates the problem by limiting air circulation, which can lead to increased humidity and condensation."
1970's 2nd and 3rd floor maisonette,cavity,1970s,both,not mentioned,"trickle vents, lack of forced ventilation",not mentioned,5 occupants,yes,bedroom 2,"bedroom 1, lounge, kitchen",0163_LU4.pdf,blocked drains causing water ingress,flat,natural ventilation,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property include inadequate ventilation, particularly in the bathroom and kitchen, which traps atmospheric moisture, and the use of a tumble dryer vented into the lounge, contributing to high humidity levels. Additionally, water ingress from prolonged flooding of flat roofs and blocked drains has led to significant water damage, particularly affecting the party wall and internal structures. The presence of poor loft insulation further exacerbates condensation issues, particularly at the roof eaves."
semi-detached dwelling,cavity,1970s,both,not mentioned,no ventilation,sealed non-opening window unit,not mentioned,not mentioned,WC,not mentioned,0174_MK41.pdf,lack of ventilation and low floor level,semi-detached/end terrace,not mentioned,not mentioned,poor ventilation,rising damp,"The main causes of the reported damp and mould issues in the downstairs WC are poor ventilation due to the absence of heating and a sealed non-opening window without trickle vents, leading to high humidity levels. Additionally, the WC's floor being below the external damp proof course (DPC) and the exterior pathway contributes to potential water ingress, exacerbating the damp conditions."
first floor flat in an end of terrace property,solid,not mentioned,both,not mentioned,not mentioned,uPVC,not mentioned,not mentioned,bedroom,bathroom,0215_SE25.pdf,raised humidity and occasional condensation,flat,not mentioned,uPVC,poor ventilation,none,"The reported issues of damp and mould in the property are primarily caused by poor ventilation leading to elevated relative humidity levels, which exceed 70% for extended periods, creating conditions conducive to mould growth. Additionally, minor water ingress due to structural movement and misalignment of the bay window contributes to localized dampness, while the single skin construction of the bay window exacerbates condensation issues due to significant temperature differences between the interior and exterior."
large detached dwelling,cavity,early to mid 1900’s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,ground floor front bedroom,shower,0209_RH19.pdf,moisture migration from ground under floor slabs,detached,not mentioned,not mentioned,other/unclear,none,"The reported damp and mould issues are primarily caused by inadequate waterproofing and moisture barriers in the property's construction, particularly the reliance on a single bitumen damp proof membrane (DPM) that is insufficient to prevent ground moisture from affecting the internal wall structures. Additionally, the presence of open chimney pots allows rainwater ingress, further exacerbating the moisture problems. Contributing factors include potential water migration from the shower area due to poor sealing and the age of the structure, which may not meet modern moisture resistance standards."
flat,solid,late 1940s,mould,not mentioned,trickle vents,not mentioned,2 adults,yes,master bedroom,kitchen,0162_LU3.pdf,lack of ventilation during moisture production,flat,natural ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, leading to high internal humidity levels, particularly in the master bedroom and kitchen. The presence of contents against colder exterior walls exacerbates the situation by restricting airflow, which contributes to condensation and mould growth. Additionally, a blocked forced air extraction unit in the bathroom further limits moisture removal, compounding the problem of elevated humidity within the property."
three-bedroom terraced house,solid,1950s,both,not mentioned,insufficient extraction fan in bathroom,uPVC,"2 adults and 3 children, 2 small dogs",not mentioned,bedroom 1 and bathroom,bedroom 2,0270_TA9.pdf,condensation from occupant-generated moisture,mid terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The main causes of the reported damp and mould issues include inadequate ventilation in the bathroom, leading to high humidity levels and condensation, as well as insufficient extraction from the bathroom fan, which operates at only 42% of the required rate. Additionally, the lack of proper insulation in the loft contributes to cold spots that attract moisture, while leaking gutters and defective joints in the concrete units allow water ingress into the structure. The solid brick construction of certain walls without insulation also exacerbates moisture retention, leading to mould growth."
detached bungalow,cavity,1953,both,not mentioned,uPVC windows with trickle vents (all closed),uPVC,not mentioned,not mentioned,lounge,not mentioned,0279_TN26.pdf,lack of ventilation and high atmospheric moisture,detached,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by a combination of inadequate damp proofing due to the absence of a damp proof membrane in the concrete floor slab, high relative humidity levels exceeding 70% in various rooms, and poor ventilation practices, as evidenced by closed trickle vents and windows. Additionally, the presence of a leak in the mains water supply and high water table conditions contribute to elevated moisture levels, further exacerbating the mould growth."
studio apartment,cavity,1960,damp,not mentioned,"mechanical/electrical fan in bathroom, inadequate in kitchen",not mentioned,1 person (void when surveyed),not mentioned,lounge/bedroom,bathroom,0253_TA6.pdf,overflowing roof valley gutter,flat,extract ventilation,not mentioned,external moisture penetration,none,"The main causes of the damp and mould issues in the studio apartment are poor drainage design leading to water overspill from the roof valleys, inadequate ventilation resulting in high humidity levels, and potential structural damage to the roof that allows water ingress. Additionally, the presence of uninsulated loft space and a high sloping ceiling may contribute to moisture retention and condensation problems."
purpose built block of flats,cavity,circa 2005,both,not mentioned,trickle vents and extractors,PVCu,2 adults and 2 children,yes,kitchen,child's bedroom,0207_RH10.pdf,inadequate ventilation and moisture from drying clothes,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The main causes of the reported damp and mould issues are poor ventilation and high relative humidity levels, particularly in areas like the kitchen and bathroom, which contribute to condensation. Additionally, the proximity of the wardrobe to the exterior wall creates cold spots that further promote condensation under certain conditions. Residual moisture in structural elements, such as the kickboards in the kitchen, also indicates ongoing moisture issues that can lead to mould growth."
