property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,analysis,heating_system
first floor flat,cavity,1960s,mould,not mentioned,extraction units in kitchen and bathroom,uPVC,2 adults,yes,"lounge, bedroom",stairwell,0339_BH21.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation from the kitchen and bathroom extraction units, which are significantly below the recommended flow rates, leading to insufficient removal of moisture-laden air. Additionally, the presence of cigarette smoke from the flat below indicates potential cross-contamination of air, further exacerbating the problem. The moisture readings suggest localized issues, particularly in the gable wall and certain areas of the bedroom, which may indicate structural defects or insulation problems contributing to the damp conditions.","The reported damp and mould issues are primarily caused by inadequate ventilation, as indicated by the malfunctioning kitchen and bathroom fans, which are essential for controlling humidity levels. Additionally, high external relative humidity and potential defects in the cavity wall insulation (CWI) contribute to elevated moisture levels within the property, exacerbating the mould growth observed in various areas.",Gas central heating
circa 1940's concrete system built structure,solid,1940s,both,not mentioned,trickle vents and extractor fans,uPVC,5 people and 2 dogs,not mentioned,bedroom and bathroom,not mentioned,0271_TA9.pdf,"The reported issues are primarily caused by a combination of poor ventilation, leading to condensation, and low thermal efficiency of the building, which is exacerbated by high internal moisture levels from the occupancy of five people and two dogs. Additionally, water ingress around the chimney and potential cold bridging at the toilet soil pipe exit contribute to the elevated moisture readings.","The main causes of the reported damp and mould issues are poor ventilation leading to condensation, particularly in the bathroom and bedrooms, as windows are often closed at night without the use of trickle vents. Additionally, the presence of a leaking chimney stack in the back bedroom contributes to elevated moisture levels. The accumulation of clothes and furniture against the walls further restricts airflow, creating localized areas of still air that exacerbate condensation problems.",Gas central heating
fourth-floor three-bedroom flat,cavity,not mentioned,mould,not mentioned,mechanical extraction unit,not mentioned,not mentioned,not mentioned,bathroom,not mentioned,0876_SE10.pdf,"The ongoing mould in the bathroom is primarily caused by inadequate ventilation due to the mechanical extraction unit's ineffective operation and potential issues with the extraction pathway to the exterior, which may be reducing airflow and moisture removal. Additionally, the lack of proper airflow into the room, exacerbated by the door's design, contributes to the accumulation of moisture.","The main causes of the reported mould issues in the bathroom are inadequate ventilation and insufficient air circulation. Despite the installation of a mechanical extraction unit, the door's lack of an undercut restricts the entry of make-up air, which is essential for effective moisture removal. This situation is exacerbated by the high relative humidity levels in the bathroom, indicating that the extraction unit may not be effectively managing the moisture generated during activities like showering.",Not mentioned
2nd floor flat,cavity,1960s,both,not mentioned,no mechanical extraction units or window trickle vents,not mentioned,not mentioned,not mentioned,lounge and bedrooms,not mentioned,0760_PO11.pdf,"The reported issues are primarily caused by inadequate ventilation, as there are no mechanical extraction units or window trickle vents, leading to a reliance on occupants to open windows for airflow. This insufficient ventilation, combined with the placement of contents against external walls restricting natural air circulation, creates cooler areas that can sustain elevated relative humidity levels, promoting mould growth. Additionally, the potential for penetrating damp issues may also contribute to the overall moisture problems.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation leading to elevated internal humidity levels, which fosters condensation on surfaces. Additionally, there are structural defects such as defective brickwork and potential penetrating damp, which contribute to moisture ingress. The presence of insulation inappropriately placed may also exacerbate moisture retention, further promoting mould growth.",Gas central heating
three bedroom first floor flat,cavity,1970s,mould,not mentioned,trickle vents and extraction units,uPVC,2 adults and 4 children,yes,lounge,bedroom 2,0338_BH21.pdf,"The reported issues are primarily due to inadequate ventilation, as evidenced by the low flow rates of the kitchen and bathroom extraction units, which are below recommended levels. Additionally, the bathroom extraction unit was turned off, further contributing to poor air circulation. The presence of mould in multiple rooms indicates that the lack of effective ventilation is leading to moisture accumulation and potential condensation problems.","The reported mould issues in the property are primarily caused by inadequate ventilation, which leads to condensation and subsequent mould growth. Specific factors include the need for cleaning and repair of kitchen and bathroom fans, which are essential for maintaining proper airflow, and a malfunctioning trickle vent in Bedroom 2. Additionally, the high external relative humidity and low temperatures contribute to the moisture levels, exacerbating the mould problem.",Gas central heating
top floor flat in a purpose-built block,not mentioned,not mentioned,not mentioned,not mentioned,mechanical ventilation system with heat recovery and a cooker hood vented to the exterior,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0877_SE10.pdf,"The reported damp and mould issues are primarily due to inadequate purge ventilation, particularly with the bedroom window, which limits the ability to effectively reduce humidity levels and promote air circulation. Additionally, while the installed ventilation system meets the whole dwelling ventilation requirements, it may not sufficiently address localized moisture buildup, especially in areas where external vents were not thoroughly checked.","The reported issues of excessive internal air conditions in the property are primarily caused by inadequate ventilation, particularly in the bedroom where the window does not open sufficiently to meet purge ventilation requirements. Additionally, the mechanical ventilation system appears to be operating at standard continuous rates without considering boost functions, which may not effectively manage the heat buildup during warmer months. The design of the property, with only one external elevation, further limits passive ventilation, exacerbating the problem.",Not mentioned
two-bedroom ground floor flat,cavity,not mentioned,both,not mentioned,"1 working mechanical extraction unit in the bathroom, 2 passive vents in the lounge and kitchen",uPVC,not mentioned,not mentioned,bathroom,Bedroom 1,0705_ME1.pdf,"The reported issues of damp and mould are primarily caused by inadequate ventilation due to an ineffective mechanical extraction unit in the bathroom, the absence of a mechanical extraction unit in the kitchen, and blocked passive vents. Additionally, the high volume of contents in the flat contributes to cooler areas on wall surfaces, which, combined with elevated internal humidity levels, creates conditions conducive to mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly due to an underperforming mechanical extraction unit in the bathroom and blocked passive vents in the lounge and kitchen. Additionally, the presence of excessive contents against internal walls restricts air circulation, leading to cooler areas that promote condensation. Elevated internal humidity levels, combined with insufficient air circulation, contribute to the sustained mould growth observed throughout the flat.",Not mentioned
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"ineffective ventilation, all but one trickle vents closed, bathroom extractor turned off",PVCu,not mentioned,yes,not mentioned,not mentioned,0454_CR0.pdf,"The main causes of the reported damp and mould issues are persistent elevated relative humidity levels due to occupational activities, ineffective ventilation from closed trickle vents and a sealed passive unit, and the drying of laundry indoors, which contributes to condensation.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated atmospheric moisture levels. The passive ventilation systems are not functioning effectively, as many vents are sealed or closed, limiting air circulation. Additionally, the presence of high relative humidity, particularly in areas like the bathroom and kitchen, combined with insufficient make-up air flow into these spaces, contributes to the conditions that allow mould to thrive.",Gas central heating
top floor flat,not mentioned,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"lounge, hallway","bathroom, stairway",0187_NW8.pdf,"The main causes of the reported damp and mould issues in flat 7 are ongoing water ingress affecting the exterior wall and door reveal, along with a significant historic plumbing leak that has contributed to moisture accumulation and subsequent damage.","The reported damp and mould issues in the property are primarily caused by prolonged unoccupancy, leading to a lack of maintenance and potential deterioration of the building's structure. This has resulted in water ingress from the roof and balcony areas, as well as significant historic plumbing leaks, which contribute to ongoing moisture problems. Additionally, potential issues with the cavity tray and the installation of external fixtures may exacerbate water ingress, further compromising the integrity of the property.",Gas central heating
two bedroom end terrace two storey house,cavity,1940,both,not mentioned,"blocked bathroom ceiling vent, kitchen vent not operating",double-glazed UPVC,"one adult and one young child, one small dog",not mentioned,"front wall, side wall",not mentioned,0496_DT5.pdf,"The main causes of the damp issues in this property are the inappropriate installation of cavity wall insulation (CWI) in an exposed position, which has led to water absorption, and the presence of wet insulation that has not been properly removed. Additionally, inadequate ventilation, incorrect repointing trapping moisture, and the building's construction with lime mortars that require breathability further exacerbate the moisture retention and contribute to the growth of fungus and potential decay in the structure.","The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom and kitchen, where extraction fans are either non-functional or blocked, leading to high internal humidity levels. Additionally, the presence of wet cavity wall insulation and poor repointing practices have trapped moisture within the walls, exacerbating the damp conditions. Structural deficiencies, such as insufficient underfloor ventilation and improper installation of the boiler flue, further contribute to moisture retention and fungal growth.",Gas central heating
three-bedroom semi-detached dwelling,cavity,not mentioned,mould,not mentioned,window trickle vents,not mentioned,2 adults and 5 children,yes,lounge,bedroom 1,0701_LU4.pdf,"The main causes of the mould issues are high humidity levels due to inadequate ventilation, particularly the absence of mechanical extraction units, and the removal of doors which allows moisture to circulate throughout the property. Additionally, the presence of contents against cooler external walls contributes to the development of mould by trapping moisture.","The main causes of the reported mould issues are poor ventilation and high humidity levels, particularly in areas where furniture is placed against external walls, restricting air circulation. Additionally, the presence of elevated moisture levels in certain areas, such as the bathroom due to poor sealant, contributes to the overall damp conditions that facilitate mould growth.",Not mentioned
2-bedroom first floor flat,cavity,not mentioned,both,not mentioned,"wall mounted mechanical extraction units in the kitchen and bathroom, trickle vents",not mentioned,1 adult and 3 children,yes,bedroom 2,"bathroom, lounge",0679_LU4.pdf,"The main causes of the reported mould issues are inadequate ventilation due to non-functional mechanical extraction units and limited operability of trickle vents, combined with excessive moisture generation from frequent indoor drying of clothes. Additionally, the presence of clutter against external walls creates cooler areas that contribute to condensation, further exacerbating the mould problem.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the bathroom and kitchen where extraction units are non-functional or poorly accessible, leading to elevated humidity levels. Additionally, the presence of contents placed against external walls contributes to cooler areas that promote condensation. The drying of laundry indoors further exacerbates the high moisture levels, creating an environment conducive to mould growth.",Gas central heating
large detached dwelling,cavity,not mentioned,both,not mentioned,extractor units in bathroom and en-suite areas,not mentioned,not mentioned,not mentioned,rear bedroom,"bathroom, en-suite areas",0281_TN33.pdf,"The reported issues are primarily caused by inadequate ventilation in the bathroom and en-suite areas, leading to condensation on window units. Additionally, cold bridging due to the design of the window units exacerbates the problem, particularly in low external temperatures.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high humidity levels. The presence of closed windows due to security concerns limits passive ventilation, while malfunctioning extractor fans in bathrooms further exacerbate moisture retention. Additionally, the cold bridging observed in window units contributes to localized condensation, creating an environment conducive to mould growth.",Not mentioned
one-bedroom ground floor flat,cavity,not mentioned,mould,not mentioned,"mechanical extraction units in kitchen and bathroom, passive vents",not mentioned,1 adult,yes,bedroom,bathroom,0987_TQ4.pdf,"The reported damp and mould issues are primarily due to inadequate drying of the floor following a flooding incident, which has left residual moisture trapped in the insulated floor construction. Additionally, construction moisture from the new build and potential ongoing leaks contribute to the problem. The presence of open passive ventilation and trickle vents also allows excess moisture to circulate within the living spaces, exacerbating the situation.","The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom, where mechanical extraction units do not operate effectively due to lack of overrun and potential wind intrusion. Additionally, the flooding incident from a burst pipe has likely contributed to elevated moisture levels, which, combined with the tenant's practice of drying clothes indoors without sufficient ventilation, has exacerbated the mould growth.",Not mentioned
semi-detached four-bedroom dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction unit in bathroom, PIV unit at top of stairs, passive vent in bedroom 4",not mentioned,2 adults and 4 children,not mentioned,"Lounge, Bathroom","Kitchen, Dining room, Bedrooms 2 and 3",0541_GU14.pdf,"The reported issues are primarily caused by elevated humidity levels and inadequate ventilation, particularly due to the lack of a mechanical extraction unit in the kitchen and insufficient airflow management in moisture-producing areas like the bathroom. Additionally, historical water ingress from a leaking WC in the neighboring property may have contributed to the moisture levels, although that issue has been resolved.","The reported damp and mould issues are primarily caused by a combination of inadequate ventilation, leading to elevated humidity levels, and structural issues such as water ingress from the neighboring property and rainwater entering beneath the back door. Additionally, the lack of air circulation around external walls and contents contributes to conditions that sustain mould growth.",Not mentioned
two bedroom ground floor flat,cavity,not mentioned,mould,not mentioned,solely reliant upon the tenant opening windows; passive vent noted in bedroom two (closed at the time of survey),not mentioned,not mentioned,yes,"lounge, kitchen",bedroom 2,0540_GU14.pdf,"The reported issues are primarily due to inadequate ventilation, as the flat relies solely on the tenant opening windows without any mechanical extraction units or trickle vents. Additionally, periods of raised humidity levels, particularly from drying clothes indoors, contribute to conditions that allow condensation to form, especially during colder months when the temperature drops.","The reported mould issues in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels and condensation, particularly in areas with poor air circulation such as the lounge, kitchen, and built-in wardrobe. Additionally, the presence of cold external walls contributes to the likelihood of condensation forming, especially when warm air from the interior comes into contact with these surfaces. The combination of these factors creates an environment conducive to mould growth, exacerbated by the long-term occupancy and moisture generation within the flat.",Gas central heating
modern ground floor flat,cavity,not mentioned,mould,east,trickle vents and passive vent,uPVC,not mentioned,not mentioned,bedroom,bathroom,0290_W10.pdf,"The reported mould issues are primarily caused by inadequate ventilation, particularly in the internal bathroom, which leads to high atmospheric moisture levels. This, combined with cool surface temperatures, results in elevated relative humidity that fosters mould growth, despite the overall dry structural moisture conditions.","The main causes of the reported mould issues in the property are high moisture levels due to inadequate ventilation, particularly in areas like the bathroom and kitchen where moisture is generated from usage. Additionally, the presence of atmospheric moisture, as indicated by high relative humidity levels, contributes to the conditions conducive to mould growth. Structural factors, such as potential leaks from plumbing and the influence of external plant growth on moisture retention, may also exacerbate the problem.",Gas central heating
ground floor flat,cavity,1950s-60s,both,not mentioned,"extraction unit in bathroom, trickle vents open",uPVC,1 adult and 1 child,no,bedroom 1,"bathroom, bedroom 2",0078_SN8.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation, particularly due to a non-functioning kitchen extraction unit and the absence of an overrun for the bathroom extraction unit, leading to elevated humidity levels. Additionally, the internal atmospheric conditions, including the trapping of warm moist air in cooler environments, contribute to ongoing condensation on external walls and surfaces.","The main causes of the reported damp and mould issues in the property are poor ventilation, leading to high relative humidity levels and condensation, particularly in areas with cold surfaces. Additionally, the lack of adequate airflow in specific locations, such as cupboards and bathrooms, exacerbates moisture retention, while the construction type and age of the property may contribute to thermal inefficiencies that promote cold spots and further condensation.",Electric storage heaters or radiators
end of terrace dwelling,cavity,1965,both,not mentioned,"extractor fan in bathroom, kitchen fan, trickle vents",uPVC,not mentioned,not mentioned,"hallway, toilet",front bedroom,0983_TN40.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom where the fan is not used, leading to condensation. Additionally, the presence of cat urine contamination contributes to moisture problems in the main hallway, while potential rainwater migration near the front door exacerbates the situation.","The reported damp and mould issues in the property are primarily caused by inadequate damp proofing due to potential bridging of the damp proof course (DPC) and the presence of hygroscopic materials, such as cat urine, which absorb moisture from the atmosphere. Additionally, the high relative humidity levels, particularly in areas with poor ventilation, contribute to moisture accumulation, creating an environment conducive to mould growth. The ineffective use of ventilation systems, particularly in the bathroom, further exacerbates the moisture problem.",Not mentioned
first floor flat in a purpose built block,solid,1950s,both,not mentioned,trickle vents and extractor units,not mentioned,not mentioned,yes,lounge,not mentioned,0296_W6.pdf,"The reported issues of mould activity and damage to decorative wall finishes are primarily caused by condensation and elevated relative humidity levels, which are exacerbated by high internal atmospheric moisture and cold surface temperatures. Additionally, inadequate heat retention in the property contributes to these conditions.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels, particularly in areas like the bathroom and kitchen. Additionally, the lack of effective heat retention exacerbates the problem, as cold surfaces contribute to condensation. The presence of minor cracking in the external render may allow moisture ingress, but the main driver of mould growth appears to be condensation-related moisture due to high relative humidity levels exceeding 60% in the living spaces.",Gas central heating
second floor apartment in a purpose built block,not mentioned,not mentioned,both,not mentioned,issues with forced ventilation to both the en-suite and bathroom areas,not mentioned,not mentioned,not mentioned,living area,en-suite,0991_TW9.pdf,"The reported damp and mould issues are primarily due to inadequate ventilation, which leads to excessive moisture accumulation and subsequent condensation. Additionally, the presence of water ingress from external sources, such as leaks or poor drainage, further exacerbates the problem by introducing moisture into the building fabric.","The main causes of the damp and mould issues reported in the property are poor ventilation, particularly in the bathroom and en-suite areas, leading to raised atmospheric moisture levels, and interstitial condensation occurring within the ceiling structure due to the lack of a vapour control membrane and the presence of colder metal cladding. Additionally, the closed trickle vents and insufficient operation of the extractor fans contribute to the accumulation of moisture in the internal environment.",Gas central heating
semi-detached bungalow,cavity,1930s,both,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,not mentioned,master bedroom,"small front bedroom, kitchen",0852_RG27.pdf,"The reported moisture issues are primarily caused by inadequate cavity wall insulation removal, which may be allowing moisture to accumulate, and insufficient ventilation due to poorly undercut internal doors, leading to ineffective air circulation. Additionally, the installation of an air brick may be introducing cold air into the cavity, exacerbating the moisture problem.","The main causes of the damp and mould issues reported in the property are high relative humidity levels, reaching up to 85% RH, which create an environment conducive to mould growth. This is exacerbated by inadequate ventilation, particularly in the bathroom and kitchen, where the make-up air flow is restricted, limiting the effectiveness of the installed extractor fans. Additionally, the removal of cavity wall insulation may have contributed to cold spots and moisture retention in the walls, further promoting mould development.",Not mentioned
two-bedroom bungalow,cavity,1950s,both,not mentioned,"extractors, passive vents",not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,0853_RG27.pdf,"The reported issues are primarily caused by the bridging of the damp proof course (DPC) by the back step, which allows rainwater to migrate behind the decorative render. This, combined with potential issues within the cavity, leads to elevated moisture levels and internal damage, including flaking paint and cracking render. Additionally, the accumulation of contents in front of walls may hinder proper ventilation, contributing to moisture retention.","The main causes of the reported damp and mould issues in the bungalow are inadequate ventilation and elevated internal humidity levels, which lead to condensation and create an environment conducive to mould growth. Additionally, the introduction of air bricks may be over-cooling the void, exacerbating the problem. There are also indications of potential bridging issues and external damage that could contribute to moisture ingress.",Not mentioned
detached bungalow,cavity,2001,both,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,yes,"master bedroom, kitchen",lounge,0388_BH31.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom areas, which prevents effective moisture control. Additionally, high humidity levels due to occupational activities contribute to condensation, and interstitial condensation may occur under the carpet in the wardrobe due to poor airflow and moisture retention.","The reported damp and mould issues in the property are primarily caused by elevated atmospheric moisture levels and inadequate ventilation. Despite the presence of passive and forced ventilation systems, the blocked cooker hood and ineffective extractor fans in the kitchen and bathroom hinder proper air circulation, leading to increased humidity. Additionally, localized condensation may occur due to temperature differentials, particularly around cold surfaces, exacerbating mould growth conditions.",Not mentioned
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"forced extractors in bathroom and kitchen, passive trickle vents in all windows",not mentioned,not mentioned,not mentioned,bedrooms,lounge,0301_AL7.pdf,"The main causes of the reported damp and mould issues include poor ventilation leading to condensation, particularly due to closed passive vents and inadequate air circulation around colder surfaces. Additionally, structural issues such as open and sealed weep holes, improperly installed air vents, and potential damp bridging from cavity wall insulation contribute to elevated moisture levels. The absence of underlay in the carpeting exacerbates the cold feeling in the bedrooms, further promoting damp conditions.","The reported damp and mould issues are primarily caused by high levels of moisture in the property, likely due to inadequate ventilation and prolonged periods of high relative humidity, which exceed 70%. Additionally, the presence of a wet floor in the lounge suggests potential water ingress or poor drainage, contributing to the overall moisture levels that facilitate mould growth. The combination of these factors creates an environment conducive to mould proliferation, particularly in the bedrooms and lounge areas.",Gas central heating
one-bedroom end of terrace dwelling,cavity,1986,mould,not mentioned,"mechanical extraction vent in the Wet Room, cooker hood in the kitchen, trickle vents, passive vent in the lounge",not mentioned,1 tenant and 1 friend,no,lounge and bedroom,not mentioned,0432_BN6.pdf,"The mould development is likely caused by elevated humidity levels combined with inadequate ventilation, particularly due to the absence of an effective kitchen vent and the lack of doors between rooms, which can restrict airflow. Additionally, the placement of furniture against external walls may contribute to cooler areas that promote condensation.","The main causes of the reported mould issues in the property are inadequate ventilation and poor air circulation, particularly in the wet room and kitchen, where extractor systems are not effectively venting moist air to the exterior. Additionally, the presence of contents against external walls restricts airflow, creating cooler areas that are prone to condensation, which further contributes to mould growth.",Gas central heating
old fisherman cottage,solid,circa 1850-1870,damp,not mentioned,trickle ventilation,PVCu,not mentioned,not mentioned,lounge,not mentioned,0252_TA6.pdf,"The reported damp issues are primarily due to the lack of a damp proof course (DPC) and damp proof membrane (DPM) during construction, leading to rising damp, particularly around the chimneys. Additionally, the external floor height being similar to the internal solid floor may contribute to moisture ingress, while the ground floor slab and vinyl covering in the kitchen act as a moisture barrier, exacerbating localized damp conditions.","The main causes of the reported damp issues include the absence of a damp proof course (DPC) in a solid brick construction, which allows moisture to rise through the walls, and the lack of adequate ventilation, particularly in areas like the kitchen and bedroom where moisture-generating appliances are present. Additionally, the sealing of the fireplace without proper moisture management may contribute to elevated moisture levels in the lounge, while the matching internal and external finished floor levels can exacerbate water ingress risks.",Not mentioned
ground floor maisonette,cavity,1990 - present,both,not mentioned,lack of trickle vents and reliance on purge ventilation,not mentioned,not mentioned,not mentioned,"Bedroom 1, Hallway",not mentioned,0069_RG2.pdf,"The reported issues are primarily due to inadequate ventilation, particularly the absence of forced ventilation in the open-plan kitchen and lack of trickle vents in the hallway, leading to reliance on opening windows to manage moisture. This insufficient ventilation allows warm, moist air to accumulate and condense on cooler surfaces, creating conditions conducive to mould growth. Additionally, the tight-fitting doors restrict air circulation, further exacerbating the problem.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom, which leads to the accumulation of moisture. Additionally, the lack of proper air circulation due to insufficient door undercuts and reliance on occupant interaction for ventilation exacerbates the problem. External factors, such as plant growth obstructing vents and the slope of the earth towards the building, contribute to excess moisture exposure during rainfall, further promoting mould growth.",Gas central heating
circa 1950’s two bedroom ground floor flat,cavity,1950s,mould,south west,"trickle vents, no use of extraction units",not mentioned,1 adult,yes,bedroom 1,bedroom 2,0133_DT4.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation due to the non-use of extraction units and closed trickle vents and windows, combined with high moisture levels from drying clothes indoors. Additionally, the placement of contents close to exterior walls contributes to the formation of cold spots, exacerbating the conditions for mould growth.","The main causes of the reported mould issues in the property are poor ventilation and high humidity levels, particularly in Bedroom 1 where contents against the external wall restrict airflow, potentially creating cold spots conducive to mould growth. Additionally, the inadequate performance of the kitchen and bathroom extraction units contributes to elevated moisture levels, while the practice of drying clothes indoors further exacerbates humidity within the flat.",Not mentioned
two bedroomed ground floor flat,cavity,mid 1990s,both,not mentioned,"bathroom extractor unit, trickle vents",timber,not mentioned,yes,"master bedroom, bathroom",not mentioned,0984_TN6.pdf,"The reported damp and mould issues are primarily caused by persistently high internal atmospheric moisture levels, which result from occupational activities such as drying laundry indoors and inadequate ventilation, including the ineffective operation of the bathroom extractor fan and the impact of open windows on humidity control.","The reported damp and mould issues in the property are primarily caused by excessive ground water levels affecting the exterior, which likely leads to moisture penetration through the walls. Additionally, the tenant's practice of drying laundry indoors without adequate ventilation contributes to elevated humidity levels, further promoting mould growth. The presence of a historic plumbing leak may have also exacerbated moisture conditions within the property.",Gas central heating
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,both forced and passive ventilation,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0276_TN16.pdf,"The reported issues are primarily caused by a combination of high atmospheric moisture levels due to occupational activities and potential water leaks affecting localized areas, particularly in the bathroom and floor structures. Although ventilation systems are installed, they may not be effectively managing the moisture levels, contributing to the conditions that allow mould to thrive.","The reported mould issues in the property are primarily caused by high atmospheric moisture levels, with relative humidity consistently exceeding 60%, which creates an environment conducive to mould growth. Additionally, poor ventilation practices, such as closed trickle vents and limited use of the extractor fan in the bathroom, exacerbate the situation by preventing adequate air circulation and moisture removal. The combination of these factors, along with the potential for condensation in certain areas, contributes to the persistent mould activity observed.",Not mentioned
3 bedroomed detached bungalow,cavity,not mentioned,both,not mentioned,no forced ventilators installed,uPVC,not mentioned,not mentioned,"bedroom 2, bathroom",lounge,0552_GU30.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation, particularly the absence of forced extraction in wet rooms, which leads to the accumulation of warm, moist air that circulates throughout the property. This is compounded by blocked air bricks and potential bridging of the damp proof course (DPC) by external structures, restricting airflow and contributing to condensation. Additionally, the placement of contents close to walls restricts air circulation, further exacerbating moisture retention and mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, leading to high relative humidity levels and condensation, particularly in areas like the rear bedroom and lounge. Additionally, compromised air circulation due to obstructed air bricks and potential rainwater penetration from poorly directed downpipes contribute to elevated moisture levels in the structure. The lack of forced extraction systems and insufficient insulation further exacerbate these conditions, creating an environment conducive to mould growth.",Not mentioned
single storey structure,cavity,1996,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,toilets,office,0199_PO22.pdf,"The reported issues are primarily caused by multiple water leaks, including leaks from cistern supply connections, a leaking rodding point, and a leaking waste pipe from the gents toilet, which contribute to excess moisture levels. Additionally, a partially collapsed drain and potential mains leak indicated by the boundary meter further exacerbate the moisture problem.","The reported damp and mould issues are primarily caused by multiple factors, including a significant leak from the nearby swimming pool, which is contributing to moisture accumulation in the affected areas. Additionally, there are leaks from the hidden pipework, particularly from the cisterns in the female toilets and a rodding access on the soil stack, which further exacerbate the moisture problem. The lack of a visible damp proof course in the wall and condensation forming on unlagged cold water pipes also indicate inadequate moisture control and ventilation, leading to the development of damp and mould.",Not mentioned
three-bedroom semi-detached dwelling,cavity,not mentioned,mould,not mentioned,some trickle vents were open and some closed,not mentioned,not mentioned,not mentioned,bedrooms,lounge,0071_RG31.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation, particularly the lack of functioning extractors in the kitchen and bathroom, which leads to the accumulation of warm, moist air. Additionally, the absence of proper air circulation due to the removal of the kitchen door and the presence of colder structural areas contribute to condensation forming at junctions, especially where warm air meets cooler surfaces. Gaps in loft insulation further exacerbate temperature differences, promoting conditions conducive to mould growth.","The main causes of the reported damp and mould issues in the property are inadequate loft insulation leading to cold spots and uneven temperatures, which facilitate condensation, particularly in the bedrooms. Additionally, high relative humidity levels, especially at night, contribute to moisture accumulation, creating an environment conducive to mould growth. The combination of these factors, including poor air circulation and the presence of hygroscopic materials, exacerbates the mould problem.",Not mentioned
first floor flat,cavity,post 2000,both,not mentioned,"extractor in bathroom, trickle vents on windows",not mentioned,not mentioned,yes,Bedroom 1,Bedroom 2,0198_PO22.pdf,"The main causes of the reported issues are a lack of adequate ventilation, as evidenced by the closed windows and absence of kitchen extraction, combined with the occupant's practice of drying clothes indoors, which introduces elevated moisture levels. Additionally, the presence of numerous possessions restricts natural air movement, contributing to cold areas and potential condensation during occupancy.","The reported damp and mould issues in the property are primarily caused by poor ventilation, which limits airflow and contributes to elevated internal atmospheric moisture levels. This is exacerbated by the presence of cold exterior walls, particularly in rooms with obstructed airflow due to stored items, and the lack of an extractor fan in the kitchen, which fails to expel moisture generated during cooking. Additionally, the drying of clothes indoors on radiators further increases humidity, creating conditions conducive to mould growth.",Not mentioned
two-bedroom first-floor flat,cavity,not mentioned,both,not mentioned,"wall mounted mechanical extraction unit in the kitchen, some window trickle vents",uPVC,2 adults and 4 children,not mentioned,Bedroom 1,Bathroom,0827_PO6.pdf,"The main causes of the reported mould issues are excessive internal humidity levels due to inadequate ventilation, particularly the reliance on a poorly functioning mechanical extraction unit in the kitchen and the absence of an extraction unit in the bathroom. Additionally, the presence of contents blocking air circulation against internal and external walls contributes to cooler areas forming, which exacerbates condensation and mould growth.","The main causes of the reported damp and mould issues in the property are high internal humidity levels and insufficient ventilation, which lead to condensation, particularly in areas like the bedrooms and bathroom. Additionally, the placement of contents against external walls restricts air circulation, exacerbating the condensation problem. The reliance on opening windows for ventilation in the bathroom, combined with a previous leak from the flat above, further contributes to the mould growth.",Not mentioned
